RIDGE,PUB,CRACK,WEIGHT,DENSITY,binaryClass
-2.1979,-3.9817,9.9659,3.7582,2.0972,1
2.3776,5.745,7.2134,-1.2694,-0.204,1
-3.2855,-2.3849,-3.3869,2.6926,2.8805,1
-13.2144,-5.4691,-5.2532,23.3209,0.0117,1
11.3521,8.0633,0.2145,-16.5388,-1.0137,1
-6.1367,-5.7709,-1.4228,2.2206,1.6085,1
6.7928,-0.9839,6.8792,-4.2664,-6.32,1
3.5159,-5.5555,-6.4753,-4.8863,0.1276,1
12.1944,-2.034,-7.2801,-11.433,-3.7397,1
3.9933,-4.9983,2.6909,-1.2378,-2.947,1
14.4386,-1.1358,-16.4556,-26.097,-3.3355,1
-12.1977,-0.2688,8.325,22.82,-0.8151,1
1.6264,-3.8508,-7.2964,-0.1052,-2.2636,1
11.808,10.512,-5.5938,-19.3524,0.2101,1
-9.0324,1.7332,2.5572,12.2234,0.8179,1
-3.0926,-0.181,-10.055,2.976,-1.2486,1
-6.7378,-3.1382,9.9585,15.2064,-1.3005,1
-2.6271,-7.9166,1.0683,3.8007,0.3215,1
-6.4078,0.3267,-11.9227,4.2909,3.8755,1
6.1505,4.1691,6.6507,-4.4359,-5.8172,1
9.7128,3.0078,-5.3666,-13.4097,-0.7273,1
-1.4911,-0.7073,0.2577,-0.4026,1.9635,1
0.1778,0.4946,-0.3995,1.1246,-0.1733,1
-3.5593,4.1548,7.2153,3.5303,2.6838,1
14.0662,11.324,1.6413,-17.2475,-3.2715,1
3.6336,-0.6732,11.957,-4.4789,-2.4563,1
3.1922,0.3145,1.8301,-4.8854,-3.7074,1
-7.0772,-6.5276,0.6998,5.4075,1.2897,1
13.9671,4.118,-13.0926,-21.3159,-2.1861,1
-0.8656,5.4375,-5.3249,1.1501,0.8828,1
3.1904,5.6867,-3.5302,-11.6222,3.2448,1
4.1411,-7.2863,3.1731,-3.0985,-3.3339,1
11.8857,0.2922,-9.0872,-11.6738,-6.4077,1
12.1528,4.5295,-1.9345,-20.1845,-0.0117,1
-3.7984,-2.3325,1.5113,6.6752,-2.0463,1
0.2711,0.9333,-0.5977,1.3826,-1.1995,1
6.1718,9.1297,8.6109,-4.4124,-1.3769,1
5.9062,5.9986,-4.0784,-9.0514,-2.6543,1
3.0082,-5.0975,-2.3145,-1.0784,-4.1399,1
-2.245,-0.1007,4.0459,-0.6481,2.2341,1
-7.9837,-3.3528,15.593,9.3609,0.1357,1
-3.5032,1.3033,-6.8548,-2.1165,4.9681,1
0.0207,-7.3566,-10.2865,-0.9522,-1.8248,1
8.9849,3.1039,9.1085,-7.1798,-4.0276,1
1.0709,12.18,6.5475,0.6161,2.8743,1
-8.0259,0.0175,6.6254,10.6989,4.8666,1
-2.9382,11.9933,1.5306,10.8555,0.054,1
-4.0516,-1.2875,-5.1014,5.1573,1.4682,1
-2.6156,6.1391,-10.5488,1.2245,2.5671,1
6.7382,0.9699,30.3178,1.1893,-5.4721,1
-4.2979,1.3176,-1.4178,0.1741,6.0918,1
-7.07,9.0683,-1.63,6.5128,6.349,1
1.4713,-10.6658,-7.7513,3.1461,-3.4581,1
3.0976,5.4185,-15.371,-12.1309,2.0202,1
2.5314,-4.8844,2.366,1.5162,-3.7837,1
0.4208,0.8554,-0.5759,1.4333,-0.9378,1
12.3813,-0.7039,6.4976,-15.8671,-5.1594,1
3.6415,7.2892,4.9042,-11.5836,2.8968,1
-9.1973,4.2178,-5.0052,1.7159,6.5938,1
5.7879,-2.4249,6.0849,2.4073,-7.2104,1
1.6745,1.0029,-9.4885,-3.9034,-1.872,1
4.0077,-5.1196,-5.6019,-12.7672,-1.0293,1
8.4467,3.6489,4.4991,-5.9176,-4.1054,1
-5.3568,-5.7532,6.151,6.8022,1.5575,1
8.4872,6.7558,-15.467,-12.1663,0.2156,1
-1.4306,-8.1402,5.5374,7.575,-4.726,1
-3.8975,-5.292,-4.8994,7.9114,0.1819,1
6.6652,-7.0117,-8.653,-8.74,-5.2633,1
-4.4978,2.1476,15.1877,12.9044,0.5261,1
1.055,-1.9507,-3.504,-0.2741,-0.6031,1
-2.3766,-3.8003,4.3293,10.1326,-3.2449,1
9.6482,11.2497,3.6486,-18.2151,2.4619,1
2.8838,1.5938,6.0071,-4.342,-1.4964,1
-3.6566,-7.1341,-2.1467,11.6265,-2.0309,1
3.2701,-2.6513,-2.136,-2.6306,-0.7544,1
1.874,-0.2551,4.0951,-5.9504,0.548,1
8.7349,-5.3767,4.0413,-5.4214,-6.1512,1
3.1068,-2.8374,-9.7923,-10.9583,0.737,1
6.6045,-2.5744,15.0759,-8.2921,-2.5016,1
7.7125,3.6616,-1.1828,-13.2627,0.2051,1
5.4496,-0.0974,-4.083,-12.2195,-1.5909,1
5.1783,-1.2562,-0.7318,-8.6655,-1.8456,1
-0.1676,-7.0411,-3.3011,2.1685,-1.9596,1
-12.8234,1.6206,-7.2006,17.6196,4.6088,1
4.1428,-1.636,8.334,0.4458,-4.9509,1
-0.4408,9.0111,-11.2947,-5.4825,4.0565,1
-4.5906,-1.2868,3.6038,8.3607,-0.3414,1
10.7387,-5.6428,-4.6106,-8.1245,-7.08,1
7.7464,-0.7477,-3.8802,-12.5976,-1.3267,1
-3.8394,3.5856,5.2975,10.4762,1.213,1
-0.3179,0.5091,-0.3657,0.8436,-0.4453,1
2.6513,5.1599,2.0975,-9.2208,2.6817,1
-4.8554,-3.1487,6.548,4.5215,1.9438,1
6.4684,0.4969,-18.573,-14.8896,1.757,1
-10.6232,-1.0584,5.6892,13.0283,3.4692,1
-12.3796,-12.829,0.2953,26.3079,-0.7954,1
6.9155,6.0717,-6.3295,-7.0437,-0.0836,1
-13.7007,-5.62,-2.0923,17.3577,3.7234,1
-7.7797,-2.1004,-9.4324,3.9395,5.2156,1
-0.7933,1.2562,-8.9618,-2.6454,0.2147,1
2.4262,0.9235,-14.132,-6.3572,0.5381,1
3.1328,9.382,-2.2932,-11.0118,3.7658,1
5.6884,4.1142,5.0948,-10.314,-0.5383,1
-0.4675,4.3456,14.7122,6.0515,-3.2802,1
-12.9827,-0.8128,3.5488,13.1574,4.6272,1
2.0577,1.1673,12.7288,-0.0222,-1.1564,1
10.7475,9.5315,-3.1215,-15.3355,-2.0304,1
